"doi","publisher","container_1","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","contentUrl","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","container_issue"
"10.5061/dryad.qp6c3","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.qp6c3",NA,16,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,67,5,1,1,1,0,0,0,"2012-06-22T15:37:01Z","2012-06-22T15:36:55Z",NA,"2021-11-06T06:50:29Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.4tf74","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.4tf74",NA,19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,121,37,1,1,2,0,0,0,"2012-07-23T19:43:16Z","2012-07-23T19:43:16Z",NA,"2021-11-06T18:19:53Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.4p7t2","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.4p7t2",NA,19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,146,36,1,2,6,0,0,0,"2012-09-12T19:39:31Z","2012-09-12T19:39:31Z",NA,"2021-11-05T18:23:47Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.hd412","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.hd412",NA,14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,71,20,1,1,1,0,0,0,"2012-09-18T14:47:56Z","2012-09-18T14:47:55Z",NA,"2021-11-06T08:39:11Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.cs947","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.cs947",NA,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,72,5,1,1,1,0,0,0,"2012-10-17T14:58:39Z","2012-10-17T14:58:39Z",NA,"2021-11-05T19:23:02Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.c70gv","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.c70gv",NA,23,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,197,68,1,1,11,0,0,0,"2012-10-24T18:48:23Z","2012-10-24T18:48:23Z",NA,"2021-11-05T21:29:48Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/bowdish.99.1","KNB Data Repository",NA,2006,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/bowdish.99.1",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T21:30:55.000Z","2012-11-05T21:30:56.000Z","2006","2020-06-29T06:47:47.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/bowdish.99.2","KNB Data Repository",NA,2006,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/bowdish.99.2",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T21:30:59.000Z","2012-11-05T21:31:01.000Z","2006","2020-06-29T06:47:46.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/bowdish.99.3","KNB Data Repository",NA,2006,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/bowdish.99.3",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T21:31:03.000Z","2012-11-05T21:31:05.000Z","2006","2020-06-29T06:47:47.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/bowdish.99.4","KNB Data Repository",NA,2006,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/bowdish.99.4",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T21:31:07.000Z","2012-11-05T21:31:09.000Z","2006","2020-06-29T06:47:46.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/bowdish.99.5","KNB Data Repository",NA,2006,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/bowdish.99.5",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T21:31:11.000Z","2012-11-05T21:31:13.000Z","2006","2020-06-29T06:47:47.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/farshid25.15.1","KNB Data Repository",NA,2011,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/farshid25.15.1",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:19:58.000Z","2012-11-05T23:20:00.000Z","2011","2020-06-29T06:50:22.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/farshid25.15.2","KNB Data Repository",NA,2011,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/farshid25.15.2",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:20:03.000Z","2012-11-05T23:20:04.000Z","2011","2020-06-29T06:50:22.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/farshid25.15.3","KNB Data Repository",NA,2011,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/farshid25.15.3",NA,4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:20:07.000Z","2012-11-05T23:20:09.000Z","2011","2020-06-29T06:50:22.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5063/aa/nrs.263.1","KNB Data Repository",NA,2004,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/nrs.263.1",NA,8,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-06T02:17:22.000Z","2012-11-06T02:17:24.000Z","2004","2020-06-29T06:55:24.000Z","cdl.ucsb","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.h435m","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.h435m",NA,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,325,119,1,1,1,0,0,0,"2013-01-04T15:59:17Z","2013-01-04T15:59:19Z",NA,"2021-11-05T21:47:00Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.1hk59","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.1hk59",NA,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,142,33,1,1,1,0,0,0,"2013-01-04T19:30:08Z","2013-01-04T19:30:10Z",NA,"2021-11-06T02:54:09Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.52565","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.52565",NA,18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,441,214,1,1,9,0,0,0,"2013-01-16T20:08:29Z","2013-01-16T20:08:31Z",NA,"2021-11-06T15:40:52Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.4232/1.11506","GESIS Data Archive",NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset","3.0.0","https://search.gesis.org/research_data/ZA5400?doi=10.4232/1.11506",NA,11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2013-01-17T13:34:11Z","2013-01-17T13:34:12Z",NA,"2021-08-30T11:10:38Z","gesis.gesis","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.369q9","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.369q9",NA,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,429,210,1,1,6,0,0,0,"2013-01-28T17:30:48Z","2013-01-28T17:30:50Z",NA,"2021-11-06T02:19:28Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.vp634306","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.vp634306",NA,18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,387,188,1,1,12,0,0,0,"2013-02-19T16:12:45Z","2013-02-19T16:12:47Z",NA,"2021-11-06T18:14:13Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.2hr77","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.2hr77",NA,22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,58,8,1,1,6,0,0,0,"2013-02-27T18:12:20Z","2013-02-27T18:12:21Z",NA,"2021-11-05T23:38:38Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.tp02t","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.tp02t",NA,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,73,14,1,1,2,0,0,0,"2013-04-01T15:26:40Z","2013-04-01T15:26:42Z",NA,"2021-11-06T15:50:19Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.pq143","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.pq143",NA,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,436,148,1,1,9,0,0,0,"2013-05-02T16:39:03Z","2013-05-02T16:39:05Z",NA,"2021-11-06T15:52:59Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.b2c80","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.b2c80",NA,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,182,4,1,1,3,0,0,0,"2013-06-10T16:23:23Z","2013-06-10T16:23:24Z",NA,"2021-11-06T05:32:14Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.hk45m","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.hk45m",NA,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,261,113,1,1,17,0,0,0,"2013-07-16T17:10:51Z","2013-07-16T17:10:52Z",NA,"2021-11-06T15:55:19Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.vn5sq","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.vn5sq",NA,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,91,12,1,1,1,0,0,0,"2013-07-22T18:24:35Z","2013-07-22T18:24:36Z",NA,"2021-11-06T00:54:55Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.n7j8q","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.n7j8q",NA,11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,270,136,1,1,8,0,0,0,"2013-09-05T19:01:06Z","2013-09-05T19:01:07Z",NA,"2021-11-05T19:57:40Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.f660p","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.f660p",NA,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,165,53,1,1,1,0,0,0,"2013-10-03T20:32:27Z","2013-10-03T20:32:29Z",NA,"2021-11-05T23:36:37Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.f1r72","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.f1r72",NA,24,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,151,60,1,1,2,0,0,0,"2013-10-04T18:37:27Z","2013-10-04T18:37:28Z",NA,"2021-11-05T21:08:31Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.2d486","Dryad",NA,2014,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.2d486",NA,22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,76,16,1,1,2,0,0,0,"2013-10-10T13:55:43Z","2013-10-10T13:55:44Z",NA,"2021-11-06T02:57:30Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.63q27","Dryad",NA,2014,"en","DATA","misc","dataset","Dataset","dataset","Dataset","2","http://datadryad.org/stash/dataset/doi:10.5061/dryad.63q27",NA,8,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,2151,343,0,1,0,0,0,0,"2013-10-22T13:57:31Z","2013-10-22T13:57:32Z",NA,"2021-11-06T18:26:31Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.dp848","Dryad",NA,2014,"en","DATA","misc","dataset","Dataset","dataset","Dataset","2","http://datadryad.org/stash/dataset/doi:10.5061/dryad.dp848",NA,7,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,156,37,0,1,0,0,0,0,"2013-11-21T14:47:52Z","2013-11-21T14:47:54Z",NA,"2021-11-06T18:28:16Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.m75g2","Dryad",NA,2014,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.m75g2",NA,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,180,47,1,1,1,0,0,0,"2013-12-05T14:49:47Z","2013-12-05T14:49:48Z",NA,"2021-11-05T23:25:22Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.2fc8m","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.2fc8m",NA,19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,44,13,1,1,7,0,0,0,"2013-12-09T15:58:56Z","2013-12-09T15:58:57Z",NA,"2021-11-05T17:31:50Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.4sf33","Dryad",NA,2014,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.4sf33",NA,14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,332,131,1,1,8,0,0,0,"2013-12-09T16:12:00Z","2013-12-09T16:12:01Z",NA,"2021-11-06T16:05:27Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.7gc7k","Dryad",NA,2015,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.7gc7k",NA,17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,216,48,1,1,4,0,0,0,"2014-01-02T15:58:31Z","2014-01-02T15:58:32Z",NA,"2021-11-06T16:07:34Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr01134.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,1998,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/1134/version/1",NA,9,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T13:57:08.000Z","2014-01-08T13:57:09.000Z","1998","2020-08-02T14:32:00.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr01311.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2005,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/1311/version/1",NA,9,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T14:04:18.000Z","2014-01-08T14:04:19.000Z","2005","2020-08-02T14:32:36.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr03662.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2003,"en","DATA","misc","dataset","Dataset","census/enumeration data, aggregate data, administrative records data, and survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/3662/version/1",NA,11,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T15:08:10.000Z","2014-01-08T15:08:11.000Z","2003","2020-08-02T14:33:33.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr04471.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2006,"en","DATA","misc","dataset","Dataset","administrative records data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/4471/version/1",NA,10,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T15:40:36.000Z","2014-01-08T15:40:37.000Z","2006","2020-08-02T14:34:42.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr04569.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2012,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/4569/version/1",NA,12,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T15:44:33.000Z","2014-01-08T15:44:34.000Z","2012","2020-08-02T14:35:01.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr04652.v6","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2007,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6",NA,12,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,2,0,0,0,0,"2014-01-08T15:48:03.000Z","2014-01-08T15:48:03.000Z","2007","2020-08-02T14:33:47.000Z","gesis.icpsr","clients","DataRepository","Midlife in the United States (MIDUS) Series",NA,NA,NA,NA,NA,NA
"10.3886/icpsr06240.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,1994,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/6240/version/1",NA,10,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T16:04:57.000Z","2014-01-08T16:04:58.000Z","1994","2020-08-02T14:35:13.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr08611.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,1987,"en","DATA","misc","dataset","Dataset","aggregate data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/8611/version/1",NA,7,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T17:29:41.000Z","2014-01-08T17:29:41.000Z","1987","2020-08-02T14:36:03.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr24881.v2","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2009,"en","DATA","misc","dataset","Dataset","survey data","Dataset",NA,"http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/24881/version/2",NA,10,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T19:20:22.000Z","2014-01-08T19:20:23.000Z","2009","2020-08-02T14:37:20.000Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.3886/icpsr25921.v1","ICPSR - Interuniversity Consortium for Political and Social Research",NA,2009,"en","DATA","misc","dataset","Dataset","administrative records data, survey data","Dataset","v1","https://www.icpsr.umich.edu/web/ICPSR/studies/25921/versions/V1",NA,11,"http://datacite.org/schema/kernel-4","api",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2014-01-08T19:23:07Z","2014-01-08T19:23:08Z",NA,"2021-06-18T14:21:46Z","gesis.icpsr","clients",NA,NA,NA,NA,NA,NA,NA,NA
