"institution","id","type","DOI","identifiers","creators","titles","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","subjects","contributors","dates","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","relatedIdentifiers","sizes","formats","version","rightsList","descriptions","geoLocations","fundingReferences","URL","contentUrl","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Virginia Tech","10.5061/dryad.0v6f8","dois","10.5061/dryad.0v6f8",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2014",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.0v6f8",<list>,17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,184,115,1,1,5,0,0,0,"2014-09-03T15:17:49Z","2014-09-03T15:17:50Z",NA,"2022-06-01T04:07:04Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.f4114","dois","10.5061/dryad.f4114",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.f4114",<list>,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,374,75,1,1,4,0,0,0,"2014-10-03T19:38:19Z","2014-10-03T19:38:20Z",NA,"2022-06-01T14:21:36Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.jv577","dois","10.5061/dryad.jv577",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.jv577",<list>,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,236,55,1,1,1,0,0,0,"2014-10-22T15:47:09Z","2014-10-22T15:47:10Z",NA,"2022-06-01T20:34:11Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.hc445","dois","10.5061/dryad.hc445",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.hc445",<list>,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,115,18,1,1,2,0,0,0,"2014-10-24T19:00:27Z","2014-10-24T19:00:28Z",NA,"2022-06-01T20:34:45Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.b91t7","dois","10.5061/dryad.b91t7",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.b91t7",<list>,17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,97,12,1,1,4,0,0,0,"2015-01-20T22:02:20Z","2015-01-20T22:02:22Z",NA,"2022-06-01T20:43:28Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1mw2p","dois","10.15787/vtt1mw2p",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2017",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","CSV Files with Kinematics Data, Clipped Forward Video, Clipped Rear Video, Excel File with Subsets of Driver Questionnaires","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/ECXIU1",<list>,7,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-03-02T20:57:32Z","2015-03-02T20:57:33Z",NA,"2020-08-19T17:16:14Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.4736q","dois","10.5061/dryad.4736q",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.4736q",<list>,16,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,229,75,1,1,6,0,0,0,"2015-03-03T17:33:49Z","2015-03-03T17:33:50Z",NA,"2022-06-01T20:39:48Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1h590","dois","10.15787/vtt1h590",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2017",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Excel spreadsheet with event detail table from InSight (September 2014 release), MP4 forward video files for said events, CSV files with time series data for said events","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/93LFTS",<list>,10,NA,NA,TRUE,"findable",NA,0,0,0,2,0,0,0,0,"2015-03-12T18:06:06Z","2015-03-12T18:06:08Z",NA,"2020-08-19T17:18:30Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.m3n87","dois","10.5061/dryad.m3n87",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.m3n87",<list>,22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,444,328,1,1,8,0,0,0,"2015-04-21T16:15:20Z","2015-04-21T16:15:22Z",NA,"2022-05-31T20:08:50Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt17p4x","dois","10.15787/vtt17p4x",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/GLHAQP",<list>,7,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-05-06T13:40:29Z","2015-05-06T13:40:31Z",NA,"2020-08-19T19:46:25Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt13w20","dois","10.15787/vtt13w20",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2017",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Dataset/Excel spreadsheet with event detail table from InSight (September 2014 release), MP4 forward video files for said events, CSV files with time series data for said events","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/OJSKMF",<list>,11,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-05-06T13:40:36Z","2015-05-06T13:40:37Z",NA,"2020-08-19T19:46:25Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt10599","dois","10.15787/vtt10599",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/RCXYJV",<list>,8,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-05-06T13:40:43Z","2015-05-06T13:40:44Z",NA,"2020-08-19T19:46:26Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.13023/fphssr.0302.04","dois","10.13023/fphssr.0302.04",<list>,<list>,<list>,"University of Kentucky",NA,NA,NA,NA,NA,NA,NA,"2014",<list>,<list>,<list>,NA,"JOUR","article","article-journal","ScholarlyArticle","Journal article","Text",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"http://uknowledge.uky.edu/frontiersinphssr/vol3/iss2/4/",<list>,0,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-05-07T14:51:47Z","2015-05-07T14:51:48Z",NA,"2020-08-19T19:47:05Z","uky.lib","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1vc7c","dois","10.15787/vtt1vc7c",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/WH9NZM",<list>,6,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-05-27T14:08:05Z","2015-05-27T14:08:06Z",NA,"2020-08-19T19:51:48Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1qp47","dois","10.15787/vtt1qp47",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2014",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Eye glance data; Front, Rear, Hands and Face video streams; Facial landmark annotations, Geometric method head rotation estimates; Mask head rotation estimates; Vehicle kinematics","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/QSFIIG",<list>,5,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-06-04T02:13:50Z","2015-06-04T02:13:52Z",NA,"2020-08-19T19:54:19Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1kw29","dois","10.15787/vtt1kw29",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2014",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Forward and rearward video (H264 encoded with mp4 wrapper), csv files for time series variables, xls files for participant demographic information, xlsx file for data dictionary.","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/LKNO2X",<list>,14,NA,NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-06-12T11:51:16Z","2015-06-12T11:51:17Z",NA,"2020-08-19T19:57:08Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.8q78n","dois","10.5061/dryad.8q78n",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2016",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.8q78n",<list>,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,157,29,1,1,1,0,0,0,"2015-07-01T13:36:47Z","2015-07-01T13:36:48Z",NA,"2022-06-01T14:28:35Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.2ds6h","dois","10.5061/dryad.2ds6h",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2016",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.2ds6h",<list>,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,156,33,1,1,4,0,0,0,"2015-07-15T14:53:41Z","2015-07-15T14:53:42Z",NA,"2022-06-01T12:15:59Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.13023/fphssr.0404.04","dois","10.13023/fphssr.0404.04",<list>,<list>,<list>,"University of Kentucky",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,NA,"JOUR","article","article-journal","ScholarlyArticle","Journal article","Text",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"http://uknowledge.uky.edu/frontiersinphssr/vol4/iss4/4/",<list>,0,"http://datacite.org/schema/kernel-3",NA,TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2015-08-09T23:45:20Z","2015-08-09T23:45:21Z",NA,"2020-08-19T20:35:18Z","uky.lib","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.mq8r2","dois","10.5061/dryad.mq8r2",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2016",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.mq8r2",<list>,23,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,202,46,1,1,1,0,0,0,"2015-08-13T18:45:45Z","2015-08-13T18:45:46Z",NA,"2022-05-31T22:32:04Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.4ht07","dois","10.5061/dryad.4ht07",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.4ht07",<list>,27,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,194,41,1,1,7,0,0,0,"2015-08-24T16:37:00Z","2015-08-24T16:37:01Z",NA,"2022-06-01T21:15:35Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.3n2j5","dois","10.5061/dryad.3n2j5",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2016",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.3n2j5",<list>,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,140,44,1,1,12,0,0,0,"2015-08-24T17:51:50Z","2015-08-24T17:51:51Z",NA,"2022-06-01T00:28:20Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.j4489","dois","10.5061/dryad.j4489",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.j4489",<list>,25,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,167,8,1,1,1,0,0,0,"2015-09-22T14:02:03Z","2015-09-22T14:02:04Z",NA,"2022-06-01T02:40:31Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.15787/vtt1g59m","dois","10.15787/vtt1g59m",<list>,<list>,<list>,"Virginia Tech Transportation Institute",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,NA,"DATA","misc","dataset","Dataset","Dataset","Dataset",<list>,<list>,<list>,NA,<list>,<list>,<list>,<list>,"https://dataverse.vtti.vt.edu/citation?persistentId=doi:10.15787/VTT1/VM5QXR",<list>,15,NA,NA,TRUE,"findable",NA,0,0,2,0,0,0,0,0,"2015-10-30T18:29:36Z","2015-10-30T18:29:37Z",NA,"2020-08-19T21:10:55Z","vt.vttidata","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.hp0vd","dois","10.5061/dryad.hp0vd",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.hp0vd",<list>,23,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,94,10,1,1,1,0,0,0,"2015-11-06T19:42:17Z","2015-11-06T19:42:18Z",NA,"2022-06-01T09:17:05Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.mk649","dois","10.5061/dryad.mk649",<list>,<list>,<list>,"Dryad",NA,NA,NA,NA,NA,NA,NA,"2015",<list>,<list>,<list>,"en","DATA","misc","dataset","Dataset","dataset","Dataset",<list>,<list>,<list>,"1",<list>,<list>,<list>,<list>,"http://datadryad.org/stash/dataset/doi:10.5061/dryad.mk649",<list>,22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,110,7,1,1,1,0,0,0,"2015-11-18T17:28:52Z","2015-11-18T17:28:53Z",NA,"2022-06-01T09:24:09Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
